Path,NC,G3,G4,G5,G4C
16B0001851_Block_Region_1_0_0_xini_6803_yini_59786.jpg,0,0,0,1,0
16B0001851_Block_Region_1_0_1_xini_7827_yini_59786.jpg,0,0,0,1,0
16B0001851_Block_Region_1_0_2_xini_8851_yini_59786.jpg,0,0,0,1,0
16B0001851_Block_Region_1_0_3_xini_9875_yini_59786.jpg,0,0,0,1,0
16B0001851_Block_Region_1_1_0_xini_6803_yini_60810.jpg,0,0,0,1,0
16B0001851_Block_Region_1_1_1_xini_7827_yini_60810.jpg,0,0,0,1,0
16B0001851_Block_Region_1_1_2_xini_8851_yini_60810.jpg,0,0,0,1,0
16B0001851_Block_Region_1_1_3_xini_9875_yini_60810.jpg,0,0,1,0,0
16B0001851_Block_Region_1_1_4_xini_10899_yini_60810.jpg,0,0,1,0,0
16B0001851_Block_Region_1_1_5_xini_11923_yini_60810.jpg,0,0,1,0,0
16B0001851_Block_Region_1_2_1_xini_7827_yini_61834.jpg,0,0,0,1,0
16B0001851_Block_Region_1_2_3_xini_9875_yini_61834.jpg,0,0,1,0,0
16B0001851_Block_Region_1_2_4_xini_10899_yini_61834.jpg,0,0,1,0,0
16B0001851_Block_Region_1_2_5_xini_11923_yini_61834.jpg,0,0,1,0,0
16B0001851_Block_Region_1_3_3_xini_9875_yini_62858.jpg,0,0,1,0,0
16B0001851_Block_Region_1_3_4_xini_10899_yini_62858.jpg,0,0,1,0,0
16B0001851_Block_Region_1_3_5_xini_11923_yini_62858.jpg,0,0,1,0,0
16B0001851_Block_Region_1_3_7_xini_13971_yini_62858.jpg,0,0,1,0,0
16B0001851_Block_Region_1_4_6_xini_12947_yini_63882.jpg,0,0,1,0,0
16B0001851_Block_Region_1_4_7_xini_13971_yini_63882.jpg,0,0,1,0,1
16B0001851_Block_Region_1_4_8_xini_14995_yini_63882.jpg,0,0,1,0,0
16B0001851_Block_Region_1_5_6_xini_12947_yini_64906.jpg,0,0,1,0,1
16B0001851_Block_Region_1_5_7_xini_13971_yini_64906.jpg,0,0,1,0,1
16B0001851_Block_Region_1_5_8_xini_14995_yini_64906.jpg,0,0,1,0,1
16B0001851_Block_Region_1_5_9_xini_16019_yini_64906.jpg,0,0,1,0,1
16B0001851_Block_Region_1_6_6_xini_12947_yini_65930.jpg,0,0,1,0,1
16B0001851_Block_Region_1_6_7_xini_13971_yini_65930.jpg,0,0,1,0,1
16B0001851_Block_Region_1_6_8_xini_14995_yini_65930.jpg,0,0,1,0,1
16B0001851_Block_Region_1_6_9_xini_16019_yini_65930.jpg,0,0,1,0,1
16B0001851_Block_Region_1_7_10_xini_17043_yini_66954.jpg,0,0,1,0,0
16B0001851_Block_Region_1_7_7_xini_13971_yini_66954.jpg,0,0,1,0,1
16B0001851_Block_Region_1_7_8_xini_14995_yini_66954.jpg,0,0,1,0,1
16B0001851_Block_Region_1_7_9_xini_16019_yini_66954.jpg,0,0,1,0,1
16B0001851_Block_Region_1_8_10_xini_17043_yini_67978.jpg,0,0,1,0,0
16B0001851_Block_Region_1_8_11_xini_18067_yini_67978.jpg,0,0,1,0,0
16B0001851_Block_Region_1_8_9_xini_16019_yini_67978.jpg,0,0,1,0,0
16B0001851_Block_Region_1_9_10_xini_17043_yini_69002.jpg,0,0,1,0,0
16B0001851_Block_Region_1_9_11_xini_18067_yini_69002.jpg,0,0,1,0,0
16B0001851_Block_Region_3_0_0_xini_10090_yini_2445.jpg,0,0,0,1,0
16B0001851_Block_Region_3_0_1_xini_11114_yini_2445.jpg,0,0,0,1,0
16B0001851_Block_Region_3_0_2_xini_12138_yini_2445.jpg,0,0,0,1,0
16B0001851_Block_Region_3_1_0_xini_10090_yini_3469.jpg,0,0,0,1,0
16B0001851_Block_Region_3_1_1_xini_11114_yini_3469.jpg,0,0,0,1,0
16B0001851_Block_Region_3_1_2_xini_12138_yini_3469.jpg,0,0,0,1,0
16B0001851_Block_Region_3_1_3_xini_13162_yini_3469.jpg,0,0,0,1,0
16B0001851_Block_Region_3_2_0_xini_10090_yini_4493.jpg,0,0,0,1,0
16B0001851_Block_Region_3_2_1_xini_11114_yini_4493.jpg,0,0,0,1,0
16B0001851_Block_Region_3_2_2_xini_12138_yini_4493.jpg,0,0,0,1,0
16B0003394_Block_Region_1_10_10_xini_13644_yini_96595.jpg,0,1,0,0,0
16B0003394_Block_Region_1_10_11_xini_14668_yini_96595.jpg,0,1,0,0,0
16B0003394_Block_Region_1_10_12_xini_15692_yini_96595.jpg,0,1,0,0,0
16B0003394_Block_Region_1_10_13_xini_16716_yini_96595.jpg,0,1,0,0,0
16B0003394_Block_Region_1_10_14_xini_17740_yini_96595.jpg,0,1,0,0,0
16B0003394_Block_Region_1_11_12_xini_15692_yini_97619.jpg,0,1,0,0,0
16B0003394_Block_Region_1_11_13_xini_16716_yini_97619.jpg,0,1,0,0,0
16B0003394_Block_Region_1_11_14_xini_17740_yini_97619.jpg,0,1,0,0,0
16B0003394_Block_Region_1_12_13_xini_16716_yini_98643.jpg,0,1,0,0,0
16B0003394_Block_Region_1_12_14_xini_17740_yini_98643.jpg,0,1,0,0,0
16B0003394_Block_Region_1_2_7_xini_10572_yini_88403.jpg,0,1,0,0,0
16B0003394_Block_Region_1_2_8_xini_11596_yini_88403.jpg,0,1,0,0,0
16B0003394_Block_Region_1_3_7_xini_10572_yini_89427.jpg,0,1,0,0,0
16B0003394_Block_Region_1_3_8_xini_11596_yini_89427.jpg,0,1,0,0,0
16B0003394_Block_Region_1_3_9_xini_12620_yini_89427.jpg,0,1,0,0,0
16B0003394_Block_Region_1_4_7_xini_10572_yini_90451.jpg,0,1,0,0,0
16B0003394_Block_Region_1_4_8_xini_11596_yini_90451.jpg,0,1,0,0,0
16B0003394_Block_Region_1_4_9_xini_12620_yini_90451.jpg,0,1,0,0,0
16B0003394_Block_Region_1_5_10_xini_13644_yini_91475.jpg,0,1,0,0,0
16B0003394_Block_Region_1_5_11_xini_14668_yini_91475.jpg,0,1,0,0,0
16B0003394_Block_Region_1_5_8_xini_11596_yini_91475.jpg,0,1,0,0,0
16B0003394_Block_Region_1_5_9_xini_12620_yini_91475.jpg,0,1,0,0,0
16B0003394_Block_Region_1_6_10_xini_13644_yini_92499.jpg,0,1,0,0,0
